,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  
,Schlum. VES,0.00,10.50,3.50,7.00,1.83,0.06,0.00,10.83,98.076,1175.550
,Schlum. VES,0.00,24.50,10.50,14.00,9.22,3.29,0.00,-593.38,87.090,1246.145
,Schlum. VES,0.00,31.50,14.00,17.50,6.35,0.20,0.00,-57.12,12.231,423.557
,Schlum. VES,0.00,21.00,7.00,14.00,8.03,0.05,0.00,-23.53,204.511,1119.486
,Schlum. VES,0.00,35.00,14.00,21.00,6.64,29.32,0.00,528.77,8.231,163.645
,Schlum. VES,0.00,49.00,21.00,28.00,12.38,13.58,0.00,-393.06,0.850,18.117
,Schlum. VES,0.00,63.00,28.00,35.00,6.77,8.02,0.00,220.90,1.552,100.842
,Schlum. VES,0.00,77.00,35.00,42.00,31.26,2.71,0.00,-305.86,3.151,66.504
,Schlum. VES,0.00,17.50,3.50,14.00,4.29,0.05,0.00,-12.12,208.050,711.783
,Schlum. VES,0.00,31.50,10.50,21.00,7.05,0.06,0.00,-9.82,35.389,331.386
,Schlum. VES,0.00,45.50,17.50,28.00,10.93,59.02,0.00,-400.92,0.349,4.676
,Schlum. VES,0.00,59.50,24.50,35.00,8.57,0.37,0.00,-141.21,3.039,90.981
,Schlum. VES,0.00,73.50,31.50,42.00,149.57,4.38,0.00,-450.82,2.702,7.151
,Schlum. VES,0.00,80.50,35.00,45.50,7.77,3.00,0.00,-18.54,3.879,237.868
,Schlum. VES,0.00,49.00,17.50,31.50,11.11,0.45,0.00,-17.80,1.660,18.481
,Schlum. VES,0.00,63.00,24.50,38.50,19.69,0.07,0.00,-227.57,9.465,101.739
,Schlum. VES,0.00,77.00,31.50,45.50,16.53,1.14,0.00,-240.02,3.415,66.419
,Schlum. VES,0.00,38.50,10.50,28.00,14.55,0.09,0.00,-256.75,2.578,9.349
,Schlum. VES,0.00,52.50,17.50,35.00,9.75,0.00,0.00,-207.73,10.743,121.148
,Schlum. VES,0.00,66.50,24.50,42.00,26.06,1.32,0.00,-332.07,3.504,24.840
,Schlum. VES,0.00,73.50,28.00,45.50,82.46,2.20,0.00,-2.29,2.658,7.372
,Schlum. VES,0.00,80.50,31.50,49.00,4.44,0.23,0.00,-84.08,3.771,235.423
,Schlum. VES,0.00,56.00,17.50,38.50,15.65,0.25,0.00,-184.85,15.502,99.828
,Schlum. VES,0.00,70.00,24.50,45.50,20.16,1.49,0.00,-210.82,3.955,32.715
,Schlum. VES,0.00,45.50,10.50,35.00,13.70,0.41,0.00,-190.33,1.396,4.800
,Schlum. VES,0.00,59.50,17.50,42.00,12.13,2.49,0.00,-355.62,11.859,92.167
,Schlum. VES,0.00,73.50,24.50,49.00,30.57,0.80,0.00,-60.57,1.494,7.526
,Schlum. VES,0.00,80.50,28.00,52.50,4.21,0.44,0.00,188.84,5.205,232.861
,Schlum. VES,0.00,35.00,3.50,31.50,24.61,0.02,0.00,196.67,199.408,100.231
,Schlum. VES,0.00,63.00,17.50,45.50,11.30,0.33,0.00,-157.28,12.953,102.425
,Schlum. VES,0.00,77.00,24.50,52.50,5.80,0.25,0.00,-17.29,2.664,66.300
,Schlum. VES,0.00,52.50,10.50,42.00,16.48,0.18,0.00,-337.52,45.832,122.321
,Schlum. VES,0.00,66.50,17.50,49.00,13.91,23.95,0.00,-73.40,4.074,25.058
,Schlum. VES,0.00,80.50,24.50,56.00,5.23,0.38,0.00,-17.58,8.800,230.299
,Schlum. VES,3.50,14.00,7.00,10.50,3.00,0.05,0.00,202.55,113.061,829.361
,Schlum. VES,3.50,28.00,14.00,17.50,7.94,5.51,0.00,-282.09,46.887,778.752
,Schlum. VES,3.50,35.00,17.50,21.00,6.78,0.38,0.00,-69.45,5.020,162.933
,Schlum. VES,3.50,24.50,10.50,17.50,9.39,0.06,0.00,0.03,212.018,993.106
,Schlum. VES,3.50,38.50,17.50,24.50,19.28,143.47,0.00,320.32,1.351,9.244
,Schlum. VES,3.50,52.50,24.50,31.50,11.63,1.90,0.00,-284.28,5.404,122.580
,Schlum. VES,3.50,66.50,31.50,38.50,109.08,7.21,0.00,9.56,6.255,25.222
,Schlum. VES,3.50,80.50,38.50,45.50,-2.80,12.45,0.00,-107.96,-0.957,225.428
,Schlum. VES,3.50,21.00,7.00,17.50,7.42,0.03,0.00,175.82,202.225,399.538
,Schlum. VES,3.50,35.00,14.00,24.50,12.68,0.53,0.00,87.67,26.083,135.746
,Schlum. VES,3.50,49.00,21.00,31.50,13.37,13.99,0.00,-287.87,1.676,18.381
,Schlum. VES,3.50,63.00,28.00,38.50,20.85,0.09,0.00,-111.82,8.304,102.196
,Schlum. VES,3.50,77.00,35.00,45.50,22.37,2.56,0.00,-304.08,3.724,65.893
,Schlum. VES,3.50,52.50,21.00,35.00,11.42,0.05,0.00,-62.74,11.392,123.422
,Schlum. VES,3.50,66.50,28.00,42.00,30.09,1.54,0.00,-264.26,3.609,25.385
,Schlum. VES,3.50,80.50,35.00,49.00,4.59,1.78,0.00,-70.27,3.202,224.144
,Schlum. VES,3.50,42.00,14.00,31.50,17.71,0.16,0.00,-74.66,2.801,8.347
,Schlum. VES,3.50,56.00,21.00,38.50,18.03,4.77,0.00,-221.74,16.316,99.528
,Schlum. VES,3.50,70.00,28.00,45.50,23.70,0.86,0.00,-138.54,4.229,32.964
,Schlum. VES,3.50,77.00,31.50,49.00,7.84,2.12,0.00,5.78,2.248,65.559
,Schlum. VES,3.50,59.50,21.00,42.00,13.10,0.68,0.00,-254.39,11.993,92.304
,Schlum. VES,3.50,73.50,28.00,49.00,31.16,0.45,0.00,13.85,1.440,7.708
,Schlum. VES,3.50,49.00,14.00,38.50,45.31,0.06,0.00,-135.60,17.744,18.455
,Schlum. VES,3.50,63.00,21.00,45.50,12.52,1.12,0.00,-252.40,13.646,102.761
,Schlum. VES,3.50,77.00,28.00,52.50,4.86,1.36,0.00,136.82,2.060,65.194
,Schlum. VES,3.50,38.50,7.00,35.00,45.61,0.07,0.00,147.40,33.660,9.130
,Schlum. VES,3.50,66.50,21.00,49.00,13.62,1.68,0.00,-36.44,3.888,25.499
,Schlum. VES,3.50,80.50,28.00,56.00,4.36,0.03,0.00,-393.54,6.703,221.648
,Schlum. VES,3.50,56.00,14.00,45.50,33.38,0.06,0.00,-186.03,75.872,99.956
,Schlum. VES,3.50,70.00,21.00,52.50,8.56,7.10,0.00,0.81,3.322,33.205
,Schlum. VES,7.00,17.50,10.50,14.00,4.44,0.00,0.00,-7.10,197.259,976.437
,Schlum. VES,7.00,31.50,17.50,21.00,7.80,9.94,0.00,-327.65,19.369,327.793
,Schlum. VES,7.00,38.50,21.00,24.50,18.11,1.02,0.00,17.37,0.750,9.109
,Schlum. VES,7.00,28.00,14.00,21.00,9.45,0.08,0.00,42.13,177.795,827.615
,Schlum. VES,7.00,42.00,21.00,28.00,28.86,140.30,0.00,295.12,1.733,7.924
,Schlum. VES,7.00,56.00,28.00,35.00,9.14,3.95,0.00,-250.35,3.495,100.866
,Schlum. VES,7.00,70.00,35.00,42.00,42.67,12.83,0.00,-42.19,3.251,33.509
,Schlum. VES,7.00,24.50,10.50,21.00,10.47,0.03,0.00,12.63,186.398,261.053
,Schlum. VES,7.00,38.50,17.50,28.00,17.85,0.56,0.00,-41.48,2.461,9.097
,Schlum. VES,7.00,52.50,24.50,35.00,11.68,2.52,0.00,-340.60,9.921,124.573
,Schlum. VES,7.00,66.50,31.50,42.00,34.29,0.92,0.00,-253.21,3.428,25.647
,Schlum. VES,7.00,80.50,38.50,49.00,-4.02,4.81,0.00,-38.08,-2.261,222.592
,Schlum. VES,7.00,56.00,24.50,38.50,18.22,0.70,0.00,-209.12,14.905,101.194
,Schlum. VES,7.00,70.00,31.50,45.50,25.78,1.54,0.00,-255.35,4.106,33.712
,Schlum. VES,7.00,45.50,17.50,35.00,15.99,0.19,0.00,-191.06,1.510,4.986
,Schlum. VES,7.00,59.50,24.50,42.00,13.50,2.29,0.00,-362.62,11.477,93.472
,Schlum. VES,7.00,73.50,31.50,49.00,33.12,1.02,0.00,-68.56,1.408,7.856
,Schlum. VES,7.00,80.50,35.00,52.50,3.11,0.98,0.00,164.14,3.068,225.469
,Schlum. VES,7.00,63.00,24.50,45.50,12.21,0.54,0.00,-191.77,12.552,103.652
,Schlum. VES,7.00,77.00,31.50,52.50,4.16,0.80,0.00,44.65,1.634,65.588
,Schlum. VES,7.00,52.50,17.50,42.00,17.05,0.25,0.00,-330.97,45.441,125.604
,Schlum. VES,7.00,66.50,24.50,49.00,14.57,23.71,0.00,-118.14,3.981,25.756
,Schlum. VES,7.00,80.50,31.50,56.00,3.66,0.49,0.00,45.47,5.306,223.341
,Schlum. VES,7.00,42.00,10.50,38.50,12294.72,0.35,0.00,-67.66,213.664,0.215
,Schlum. VES,7.00,70.00,24.50,52.50,8.15,3.42,0.00,126.02,3.090,33.876
,Schlum. VES,7.00,59.50,17.50,49.00,34.01,0.06,0.00,-122.60,72.934,94.320
,Schlum. VES,7.00,73.50,24.50,56.00,9.67,3.44,0.00,-63.10,0.900,7.959
,Schlum. VES,10.50,21.00,14.00,17.50,7.32,0.04,0.00,146.59,210.727,632.765
,Schlum. VES,10.50,35.00,21.00,24.50,21.51,13.29,0.00,-300.52,18.930,116.131
,Schlum. VES,10.50,42.00,24.50,28.00,22.81,0.55,0.00,-62.45,0.833,8.030
,Schlum. VES,10.50,31.50,17.50,24.50,18.16,0.09,0.00,-11.46,130.731,316.700
,Schlum. VES,10.50,45.50,24.50,31.50,60.83,260.49,0.00,269.99,1.351,2.931
,Schlum. VES,10.50,59.50,31.50,38.50,22.08,1.24,0.00,-327.60,7.896,94.355
,Schlum. VES,10.50,73.50,38.50,45.50,-102.99,19.35,0.00,74.33,-1.882,8.038
,Schlum. VES,10.50,28.00,14.00,24.50,20.06,0.03,0.00,113.86,190.808,139.435
,Schlum. VES,10.50,42.00,21.00,31.50,23.64,0.43,0.00,-0.37,2.858,7.976
,Schlum. VES,10.50,56.00,28.00,38.50,19.32,4.81,0.00,-308.63,13.255,100.610
,Schlum. VES,10.50,70.00,35.00,45.50,29.72,0.97,0.00,-116.29,3.933,33.952
,Schlum. VES,10.50,59.50,28.00,42.00,13.89,0.59,0.00,-226.36,10.660,94.950
,Schlum. VES,10.50,73.50,35.00,49.00,36.66,1.02,0.00,-51.65,1.402,8.096
,Schlum. VES,10.50,49.00,21.00,38.50,44.98,0.41,0.00,-216.19,15.328,17.983
,Schlum. VES,10.50,63.00,28.00,45.50,12.60,0.72,0.00,-226.06,11.840,103.287
,Schlum. VES,10.50,77.00,35.00,52.50,4.26,1.36,0.00,15.47,1.501,65.111
,Schlum. VES,10.50,66.50,28.00,49.00,13.97,4.53,0.00,-34.08,3.577,25.804
,Schlum. VES,10.50,80.50,35.00,56.00,3.67,0.35,0.00,-444.37,4.774,217.010
,Schlum. VES,10.50,56.00,21.00,45.50,30.86,0.04,0.00,-224.49,66.041,100.847
,Schlum. VES,10.50,70.00,28.00,52.50,8.12,6.44,0.00,-57.28,2.938,34.078
,Schlum. VES,10.50,45.50,14.00,42.00,3587.42,0.14,0.00,-102.63,209.598,0.723
,Schlum. VES,10.50,73.50,28.00,56.00,9.32,24.73,0.00,138.47,0.854,8.180
,Schlum. VES,10.50,63.00,21.00,52.50,15.29,0.04,0.00,-81.24,36.117,103.876
,Schlum. VES,10.50,77.00,28.00,59.50,6.69,0.52,0.00,61.06,5.074,64.822
,Schlum. VES,14.00,24.50,17.50,21.00,11.59,0.07,0.00,18.27,206.937,392.808
,Schlum. VES,14.00,38.50,24.50,28.00,21.33,125.85,0.00,-354.82,1.408,8.714
,Schlum. VES,14.00,45.50,28.00,31.50,21.00,0.31,0.00,14.40,0.493,5.161
,Schlum. VES,14.00,35.00,21.00,28.00,28.03,0.18,0.00,-25.29,62.579,98.207
,Schlum. VES,14.00,49.00,28.00,35.00,28.99,162.75,0.00,244.59,2.258,10.279
,Schlum. VES,14.00,63.00,35.00,42.00,15.64,3.15,0.00,-365.30,6.101,102.926
,Schlum. VES,14.00,77.00,42.00,49.00,-3.83,69.53,0.00,262.61,-0.559,64.207
,Schlum. VES,14.00,31.50,17.50,28.00,25.41,0.00,0.00,-22.80,205.230,118.412
,Schlum. VES,14.00,45.50,24.50,35.00,21.65,0.51,0.00,-92.16,1.710,5.211
,Schlum. VES,14.00,59.50,31.50,42.00,14.99,1.38,0.00,-478.32,9.625,94.111
,Schlum. VES,14.00,73.50,38.50,49.00,-108.14,1.74,0.00,74.74,-3.478,8.252
,Schlum. VES,14.00,63.00,31.50,45.50,12.87,0.95,0.00,-164.67,10.749,103.299
,Schlum. VES,14.00,77.00,38.50,52.50,-11.35,0.23,0.00,36.01,-3.427,63.917
,Schlum. VES,14.00,52.50,24.50,42.00,20.76,0.15,0.00,-361.08,48.114,122.330
,Schlum. VES,14.00,66.50,31.50,49.00,15.40,22.50,0.00,-135.07,3.613,25.793
,Schlum. VES,14.00,80.50,38.50,56.00,0.18,7.03,0.00,45.14,0.207,213.468
,Schlum. VES,14.00,70.00,31.50,52.50,7.92,4.32,0.00,92.00,2.677,34.085
,Schlum. VES,14.00,59.50,24.50,49.00,31.56,0.05,0.00,-132.58,63.409,94.668
,Schlum. VES,14.00,73.50,31.50,56.00,9.28,2.35,0.00,-157.59,0.817,8.302
,Schlum. VES,14.00,49.00,17.50,45.50,367.93,0.13,0.00,-104.50,203.904,6.855
,Schlum. VES,14.00,77.00,31.50,59.50,6.44,8.01,0.00,268.73,4.598,63.816
,Schlum. VES,14.00,66.50,24.50,56.00,15.71,0.10,0.00,-163.20,9.246,25.888
,Schlum. VES,14.00,80.50,31.50,63.00,5.82,0.18,0.00,61.77,14.371,211.092
,Schlum. VES,17.50,28.00,21.00,24.50,28.80,0.00,0.00,90.98,193.174,147.500
,Schlum. VES,17.50,42.00,28.00,31.50,20.37,172.64,0.00,-246.96,1.174,7.606
,Schlum. VES,17.50,49.00,31.50,35.00,16.96,0.29,0.00,-69.92,1.358,17.599
,Schlum. VES,17.50,38.50,24.50,31.50,32.63,0.06,0.00,-21.57,6.311,8.506
,Schlum. VES,17.50,52.50,31.50,38.50,30.70,125.70,0.00,114.69,6.212,26.703
,Schlum. VES,17.50,66.50,38.50,45.50,-5.70,38.61,0.00,-135.58,-0.561,25.987
,Schlum. VES,17.50,80.50,45.50,52.50,-0.64,59.53,0.00,245.32,-0.310,212.904
,Schlum. VES,17.50,35.00,21.00,31.50,33.74,0.16,0.00,51.94,173.395,75.348
,Schlum. VES,17.50,49.00,28.00,38.50,48.52,0.30,0.00,-146.64,12.988,17.659
,Schlum. VES,17.50,63.00,35.00,45.50,14.14,2.92,0.00,-340.78,10.035,104.053
,Schlum. VES,17.50,77.00,42.00,52.50,-5.51,4.83,0.00,220.88,-1.373,63.978
,Schlum. VES,17.50,66.50,35.00,49.00,15.42,1.81,0.00,-54.86,3.252,26.089
,Schlum. VES,17.50,80.50,42.00,56.00,1.95,3.03,0.00,95.58,1.936,210.218
,Schlum. VES,17.50,56.00,28.00,45.50,28.26,0.07,0.00,-201.70,53.585,100.092
,Schlum. VES,17.50,70.00,35.00,52.50,8.18,5.66,0.00,-71.51,2.547,34.244
,Schlum. VES,17.50,73.50,35.00,56.00,9.33,66.24,0.00,201.05,0.778,8.407
,Schlum. VES,17.50,63.00,28.00,52.50,16.20,0.04,0.00,-48.57,35.936,104.505
,Schlum. VES,17.50,77.00,35.00,59.50,6.46,0.28,0.00,-43.61,4.400,64.226
,Schlum. VES,17.50,52.50,21.00,49.00,562.75,0.03,0.00,36.88,208.628,4.586
,Schlum. VES,17.50,80.50,35.00,63.00,5.83,3.28,0.00,368.24,13.587,208.250
,Schlum. VES,17.50,70.00,28.00,59.50,14.23,0.09,0.00,-26.87,11.118,34.372
,Schlum. VES,21.00,31.50,24.50,28.00,35.41,0.05,0.00,6.46,204.740,127.148
,Schlum. VES,21.00,45.50,31.50,35.00,2.71,2930.94,0.00,-321.53,0.091,4.412
,Schlum. VES,21.00,52.50,35.00,38.50,25.73,0.22,0.00,-124.22,14.558,124.408
,Schlum. VES,21.00,42.00,28.00,35.00,34.60,0.08,0.00,3.52,5.802,7.376
,Schlum. VES,21.00,56.00,35.00,42.00,52.02,201.63,0.00,86.74,5.494,13.934
,Schlum. VES,21.00,70.00,42.00,49.00,-2.71,33.95,0.00,60.90,-0.354,34.540
,Schlum. VES,21.00,38.50,24.50,35.00,50.22,0.00,0.00,1.49,28.411,8.293
,Schlum. VES,21.00,52.50,31.50,42.00,21.42,1.84,0.00,-245.12,40.737,125.494
,Schlum. VES,21.00,66.50,38.50,49.00,-9.26,23.98,0.00,-42.30,-1.655,26.189
,Schlum. VES,21.00,80.50,45.50,56.00,1.48,5.28,0.00,111.56,1.211,209.635
,Schlum. VES,21.00,70.00,38.50,52.50,-9.10,3.85,0.00,298.31,-2.549,34.672
,Schlum. VES,21.00,59.50,31.50,49.00,27.89,0.03,0.00,-111.31,50.482,95.522
,Schlum. VES,21.00,73.50,38.50,56.00,-54.94,0.12,0.00,37.32,-4.235,8.475
,Schlum. VES,21.00,77.00,38.50,59.50,-0.63,295.89,0.00,478.12,-0.401,64.153
,Schlum. VES,21.00,66.50,31.50,56.00,15.26,0.09,0.00,-107.59,8.502,26.259
,Schlum. VES,21.00,80.50,38.50,63.00,4.02,0.27,0.00,124.94,8.893,208.382
,Schlum. VES,21.00,56.00,24.50,52.50,107.79,0.04,0.00,119.42,208.123,23.883
,Schlum. VES,21.00,73.50,31.50,63.00,13.73,0.12,0.00,-19.24,2.652,8.493
,Schlum. VES,24.50,35.00,28.00,31.50,50.05,0.14,0.00,74.21,172.368,75.735
,Schlum. VES,24.50,49.00,35.00,38.50,69.47,58.61,0.00,-372.25,5.863,11.135
,Schlum. VES,24.50,56.00,38.50,42.00,20.58,0.88,0.00,-112.44,9.481,101.326
,Schlum. VES,24.50,45.50,31.50,38.50,388.37,0.97,0.00,-135.88,47.738,5.406
,Schlum. VES,24.50,59.50,38.50,45.50,91.29,271.86,0.00,326.14,5.378,7.773
,Schlum. VES,24.50,73.50,45.50,52.50,-48.49,13.04,0.00,13.21,-1.569,8.539
,Schlum. VES,24.50,42.00,28.00,38.50,10298.08,0.34,0.00,-73.74,210.625,0.300
,Schlum. VES,24.50,56.00,35.00,45.50,32.81,0.04,0.00,-119.31,50.590,101.737
,Schlum. VES,24.50,70.00,42.00,52.50,-0.01,0.00,0.00,213.09,-0.002,34.838
,Schlum. VES,24.50,73.50,42.00,56.00,-19.51,48.63,0.00,577.07,-1.351,8.566
,Schlum. VES,24.50,63.00,35.00,52.50,20.68,0.03,0.00,-45.80,41.322,105.447
,Schlum. VES,24.50,77.00,42.00,59.50,4.46,3.62,0.00,238.98,2.594,63.985
,Schlum. VES,24.50,80.50,42.00,63.00,7.04,9.06,0.00,663.21,14.700,210.357
,Schlum. VES,24.50,70.00,35.00,59.50,17.84,0.06,0.00,-18.97,13.217,34.920
,Schlum. VES,24.50,59.50,28.00,56.00,50.17,0.03,0.00,154.57,196.534,48.456
,Schlum. VES,24.50,77.00,35.00,66.50,16.04,0.18,0.00,51.98,23.190,63.586
,Schlum. VES,28.00,38.50,31.50,35.00,67.43,0.00,0.00,18.75,24.545,8.005
,Schlum. VES,28.00,52.50,38.50,42.00,21.78,152.85,0.00,-370.85,4.898,29.668
,Schlum. VES,28.00,59.50,42.00,45.50,26.12,0.19,0.00,96.52,11.280,94.954
,Schlum. VES,28.00,49.00,35.00,42.00,102.96,0.09,0.00,-231.59,39.945,17.063
,Schlum. VES,28.00,63.00,42.00,49.00,105.66,265.24,0.00,484.73,6.133,7.659
,Schlum. VES,28.00,77.00,49.00,56.00,4.76,17.24,0.00,-49.06,1.133,62.843
,Schlum. VES,28.00,45.50,31.50,42.00,2714.57,0.14,0.00,-219.33,208.587,1.127
,Schlum. VES,28.00,59.50,38.50,49.00,34.08,0.12,0.00,90.50,49.286,95.423
,Schlum. VES,28.00,73.50,45.50,56.00,-17.46,17.39,0.00,37.43,-1.029,8.638
,Schlum. VES,28.00,77.00,45.50,59.50,5.88,16.75,0.00,479.49,2.979,62.649
,Schlum. VES,28.00,66.50,38.50,56.00,14.12,0.05,0.00,71.08,7.014,26.215
,Schlum. VES,28.00,80.50,45.50,63.00,8.07,0.56,0.00,151.11,15.572,212.143
,Schlum. VES,28.00,73.50,38.50,63.00,-3.71,0.59,0.00,142.23,-0.680,8.641
,Schlum. VES,28.00,63.00,31.50,59.50,47.11,0.04,0.00,215.03,197.526,51.862
,Schlum. VES,28.00,80.50,38.50,70.00,17.04,0.00,0.00,107.18,80.857,208.728
,Schlum. VES,31.50,42.00,35.00,38.50,13781.73,0.04,0.00,-74.45,210.129,0.335
,Schlum. VES,31.50,56.00,42.00,45.50,45.54,3.96,0.00,60.26,28.779,83.388
,Schlum. VES,31.50,63.00,45.50,49.00,22.54,4.65,0.00,102.40,8.816,86.018
,Schlum. VES,31.50,52.50,38.50,45.50,48.47,0.06,0.00,-21.02,109.020,98.921
,Schlum. VES,31.50,66.50,45.50,52.50,285.32,339.26,0.00,725.79,5.285,2.444
,Schlum. VES,31.50,80.50,52.50,59.50,8.50,7.85,0.00,-180.47,4.836,150.160
,Schlum. VES,31.50,49.00,35.00,45.50,286.53,0.12,0.00,-96.25,196.855,10.072
,Schlum. VES,31.50,63.00,42.00,52.50,27.00,0.61,0.00,377.90,35.272,86.176
,Schlum. VES,31.50,77.00,49.00,59.50,9.32,10.71,0.00,-11.10,3.559,56.016
,Schlum. VES,31.50,80.50,49.00,63.00,9.88,4.04,0.00,322.82,11.983,150.077
,Schlum. VES,31.50,70.00,42.00,59.50,19.57,0.58,0.00,274.71,12.069,32.554
,Schlum. VES,31.50,77.00,42.00,66.50,18.85,0.56,0.00,329.07,22.267,55.657
,Schlum. VES,31.50,66.50,35.00,63.00,54.59,0.11,0.00,241.00,110.341,25.002
